1,24
2,23
3,24
4,34
5,21
6,31
7,31
8,18
9,26
10,26
11,22
12,31
13,30
14,32
15,22
16,28
17,28
18,31
19,54
20,20
21,27
22,22
23,22
24,24
25,24
26,17
27,26
28,43
29,22
30,26
31,24
32,23
33,24
34,30
35,24
36,21
37,23
38,20
39,33
40,23
41,28
42,25
43,34
44,25
45,41
46,33
47,22
48,24
49,24
50,22
51,23
52,22
53,24
54,NA
55,26
56,21
57,24
58,NA
59,24
60,24
61,26
62,21
63,30
64,31
65,21
66,NA
67,22
68,23
69,19
70,26
71,27
72,24
73,23
74,30
75,22
76,22
77,27
78,26
79,23
80,22
81,22
82,26
83,22
84,26
85,24
86,22
87,29
88,25
89,21
90,21
91,27
92,21
93,34
94,38
95,35
96,18
97,16
98,30
99,30
100,22
101,25
102,NA
103,25
104,26
105,19
106,22
107,22
108,20
109,23
110,20
111,22
112,21
113,22
114,20
115,24
116,28
117,22
118,22
119,19
120,26
121,23
122,28
123,25
124,31
125,28
126,20
127,20
128,28
129,22
130,18
131,33
132,28
133,NA
134,23
135,23
136,29
137,15
138,24
139,NA
140,42
141,30
142,26
143,21
144,23
145,24
147,41
148,21
149,30
150,23
151,42
152,34
153,23
154,40
155,22
156,23
157,22
158,21
159,15
160,25
161,28
162,25
163,NA
164,22
165,20
166,21
167,NA
168,23
169,19
170,18
171,25
172,32
173,NA
174,19
175,31
176,NA
177,23
178,23
179,NA
180,18
181,18
182,29
183,NA
184,30
185,31
186,NA
187,32
188,24
189,NA
190,NA
191,20
192,25
193,21
194,NA
195,24
196,24
197,28
198,29
199,23
200,24
201,25
202,19
203,23
204,21
205,24
206,18
207,21
208,20
209,NA
210,27
211,16
212,30
213,28
214,21
215,21
216,26
217,22
218,27
219,28
220,NA
221,24
222,22
223,19
224,NA
225,23
226,NA
227,27
228,24
229,26
230,NA
231,41
232,24
233,17
234,21
235,25
236,21
237,20
238,36
239,23
240,19
241,23
242,20
243,23
244,22
245,21
246,26
247,24
248,19
249,22
250,22
251,27
252,30
253,19
254,21
255,21
256,23
257,19
258,17
259,21
260,NA
261,24
262,26
263,23
264,29
265,31
266,22
267,19
268,25
269,27
270,23
271,27
272,30
273,17
274,24
275,22
276,24
277,19
278,25
279,23
280,19
281,NA
282,30
283,22
284,27
285,NA
286,23
287,20
288,17
289,17
290,14
291,26
292,34
293,30
294,NA
295,29
296,24
297,38
298,23
299,22
300,NA
301,NA
302,NA
303,NA
304,21
305,24
306,39
307,23
308,21
309,30
310,32
311,21
312,22
313,21
314,22
315,26
316,26
317,24
318,20
319,28
320,18
321,27
322,20
323,31
324,32
325,25
326,NA
327,NA
329,21
330,23
331,21
332,21
333,NA
334,28
335,28
336,27
337,22
338,22
339,25
340,21
341,27
342,16
343,16
344,23
345,20
346,15
347,18
348,19
349,33
350,21
351,23
352,22
353,19
354,26
355,29
356,26
357,26
358,NA
359,26
360,24
361,18
362,24
363,24
364,25
365,23
366,25
367,22
368,23
369,22
370,24
371,21
372,26
373,21
374,28
375,18
376,31
377,22
378,NA
379,21
380,22
381,23
382,35
383,27
384,30
385,22
386,22
387,19
388,19
389,45
390,20
391,23
392,35
393,19
394,19
395,16
396,25
397,25
398,24
399,20
400,28
401,22
402,22
403,18
404,15
405,22
406,26
407,26
408,37
409,19
410,23
411,22
412,24
413,27
414,26
415,23
416,19
417,17
418,22
419,30
420,27
421,23
422,34
423,22
424,17
425,25
426,29
427,24
428,21
429,30
430,20
431,24
432,26
433,23
434,21
435,19
436,22
437,18
438,30
439,27
440,19
441,24
442,27
443,25
444,27
445,24
446,35
447,28
448,22
449,26
450,29
451,21
452,22
453,24
454,19
455,19
456,24
457,23
458,20
459,17
460,22
461,26
462,19
463,17
464,25
465,30
466,25
467,27
468,27
469,28
470,24
471,25
472,24
473,27
474,29
475,26
476,20
477,30
478,27
479,30
480,24
481,22
482,22
483,38
484,24
485,21
486,20
487,NA
488,21
489,22
490,23
491,22
492,NA
493,31
494,28
495,21
496,21
497,22
498,26
499,22
500,23
501,33
